country,payment_request,interview_process,job_url,job_title,company_name,job_description,recruiter_email,salary,location,label
India,False,No Interview,http://forms.gle/xyz,Form Filling Job,DataTech Solutions,Work from home opportunity. Earn 25000 daily. No interview needed. Contact via WhatsApp +91-6973909872.,recruiter.datatechsolutions@yahoo.co.in,High/Unrealistic,Mumbai,Fake
India,False,No Interview,http://bit.ly/job108,Form Filling Job,Digital India Hub,Part time job. Just typing work. Earn weekly payment. 100% guaranteed. Call HR Amit on +91-7896942173.,hr.digitalindiahub@gmail.com,High/Unrealistic,Bangalore,Fake
Foreign,False,Video Conference x3,https://jobs.facebook.com,Cloud Architect,Facebook,Facebook is seeking a talented Cloud Architect. Experience with modern tech stack is a plus. Apply via our careers page.,jobs@facebook.com,Undisclosed,London,Genuine
Foreign,False,Online Chat,http://microsoft-hiring-now.net,Mystery Shopper,Microsoft,Earn $2000 weekly working from home. We need a Mystery Shopper immediately. Shipping supplies included.,hiring@gmail.com,High/Unrealistic,Sydney,Fake
India,False,No Interview,http://forms.gle/xyz,Airport Ground Staff,Smart Work Pvt Ltd,Part time job. Just typing work. Earn weekly payment. 100% guaranteed. Call HR Amit on +91-7684723151.,job.offer123@hotmail.com,High/Unrealistic,Hyderabad,Fake
India,True,No Interview,http://bit.ly/job528,Assistant Helper,DataTech Solutions,Government job backdoor entry. Pay 500 for cleaning charges and get appointment letter today.,carrer.offer@rediffmail.com,High/Unrealistic,Noida,Fake
Foreign,False,Video Conference x3,https://jobs.google.com,Product Manager,Google,Join our global team as a Product Manager. We prioritize innovation and diversity. Full health benefits included.,jobs@google.com,Undisclosed,San Francisco,Genuine
India,False,Aptitude + Technical + HR,https://careers.tatamotors.com/jobs/3111,Java Developer,Tata Motors,Join Tata Motors as a Java Developer. Work on cutting-edge technologies. Location: Gurgaon. Send resume to our official email.,recruitment@tatamotors.net,Undisclosed,Mumbai,Genuine
India,False,Aptitude + Technical + HR,https://careers.reliancejio.com/jobs/6102,Java Developer,Reliance Jio,Join Reliance Jio as a Java Developer. Work on cutting-edge technologies. Location: Chennai. Send resume to our official email.,careers@reliancejio.com,Undisclosed,Noida,Genuine
India,False,No Interview,http://tinyurl.com/airport services,Data Entry Operator,Airport Services,Part time job. Just typing work. Earn weekly payment. 100% guaranteed. Call HR Amit on +91-6818182595.,carrer.offer@rediffmail.com,High/Unrealistic,Gurgaon,Fake
India,False,Aptitude + Technical + HR,https://careers.hdfcbank.com/jobs/9522,Java Developer,HDFC Bank,Join HDFC Bank as a Java Developer. Work on cutting-edge technologies. Location: Noida. Send resume to our official email.,careers@hdfcbank.com,Undisclosed,Gurgaon,Genuine
India,False,Aptitude + Technical + HR,https://careers.airtel.com/jobs/1745,System Analyst,Airtel,Airtel is hiring for System Analyst. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,hr@airtel.co.in,Undisclosed,Bangalore,Genuine
India,False,Aptitude + Technical + HR,https://careers.icicibank.com/jobs/4324,Business Analyst,ICICI Bank,We are looking for a skilled Business Analyst to join our team in Noida. Minimum 2 years experience required. Apply on our official portal.,careers@icicibank.com,Undisclosed,Bangalore,Genuine
India,False,Aptitude + Technical + HR,https://careers.reliancejio.com/jobs/7047,Sales Manager,Reliance Jio,Join Reliance Jio as a Sales Manager. Work on cutting-edge technologies. Location: Noida. Send resume to our official email.,hr@reliancejio.co.in,Undisclosed,Hyderabad,Genuine
Foreign,False,Video Conference x3,https://jobs.facebook.com,Cloud Architect,Facebook,Join our global team as a Cloud Architect. We prioritize innovation and diversity. Full health benefits included.,careers@facebook.org,Undisclosed,Singapore,Genuine
India,True,No Interview,http://forms.gle/xyz,Data Entry Operator,Airport Services,Government job backdoor entry. Pay 999 for cleaning charges and get appointment letter today.,hr.airportservices@gmail.com,High/Unrealistic,Bangalore,Fake
India,False,Aptitude + Technical + HR,https://careers.icicibank.com/jobs/4026,Data Scientist,ICICI Bank,Urgent opening for Data Scientist at ICICI Bank Hyderabad branch. Bachelor's degree mandatory. Formal interview process includes Technical and HR rounds.,hr@icicibank.co.in,Undisclosed,Chennai,Genuine
India,False,Aptitude + Technical + HR,https://careers.infosys.com/jobs/5368,Sales Manager,Infosys,Infosys is hiring for Sales Manager. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,hr@infosys.co.in,Undisclosed,Pune,Genuine
India,False,No Interview,http://forms.gle/xyz,Assistant Helper,DataTech Solutions,Work from home opportunity. Earn 5000/day daily. No interview needed. Contact via WhatsApp +91-6180345025.,recruiter.datatechsolutions@yahoo.co.in,High/Unrealistic,Pune,Fake
India,False,Aptitude + Technical + HR,https://careers.wipro.com/jobs/6710,Sales Manager,Wipro,Urgent opening for Sales Manager at Wipro Pune branch. Bachelor's degree mandatory. Formal interview process includes Technical and HR rounds.,careers@wipro.com,Undisclosed,Chennai,Genuine
India,True,No Interview,http://forms.gle/xyz,Captcha Entry Work,Global Services,Government job backdoor entry. Pay 5000 for cleaning charges and get appointment letter today.,hr.globalservices@gmail.com,High/Unrealistic,Chennai,Fake
India,True,No Interview,http://bit.ly/job497,Back Office Executive,Airport Services,Government job backdoor entry. Pay 1500 for cleaning charges and get appointment letter today.,carrer.offer@rediffmail.com,High/Unrealistic,Chennai,Fake
Foreign,False,Video Conference x3,https://jobs.facebook.com,Product Manager,Facebook,Exciting opportunity for Product Manager at Facebook. Remote options available. Competitive compensation package.,jobs@facebook.com,Undisclosed,Sydney,Genuine
India,True,No Interview,http://forms.gle/xyz,Airport Ground Staff,Global Services,Government job backdoor entry. Pay 2000 for cleaning charges and get appointment letter today.,hr.globalservices@gmail.com,High/Unrealistic,Gurgaon,Fake
India,True,No Interview,http://forms.gle/xyz,Data Entry Operator,Airport Services,Direct joining without interview. Salary 5000/day. Security deposit required for verification.,job.offer123@hotmail.com,High/Unrealistic,Pune,Fake
Foreign,False,Video Conference x3,https://jobs.adobe.com,DevOps Engineer,Adobe,Join our global team as a DevOps Engineer. We prioritize innovation and diversity. Full health benefits included.,careers@adobe.org,Undisclosed,Berlin,Genuine
India,False,Aptitude + Technical + HR,https://careers.icicibank.com/jobs/7368,Business Analyst,ICICI Bank,Join ICICI Bank as a Business Analyst. Work on cutting-edge technologies. Location: Gurgaon. Send resume to our official email.,recruitment@icicibank.net,Undisclosed,Chennai,Genuine
India,True,No Interview,http://forms.gle/xyz,SMS Sending Job,Global Services,Government job backdoor entry. Pay 5000 for cleaning charges and get appointment letter today.,hr.globalservices@gmail.com,High/Unrealistic,Bangalore,Fake
India,True,No Interview,http://bit.ly/job502,Form Filling Job,Airport Services,Urgent hiring for Form Filling Job. 100% genuine. Pay processing charge 500 for ID card and laptop gate pass.,recruiter.airportservices@yahoo.co.in,High/Unrealistic,Gurgaon,Fake
India,False,Aptitude + Technical + HR,https://careers.airtel.com/jobs/5910,Data Scientist,Airtel,Urgent opening for Data Scientist at Airtel Mumbai branch. Bachelor's degree mandatory. Formal interview process includes Technical and HR rounds.,recruitment@airtel.net,Undisclosed,Noida,Genuine
India,False,Aptitude + Technical + HR,https://careers.wipro.com/jobs/7225,Data Scientist,Wipro,Join Wipro as a Data Scientist. Work on cutting-edge technologies. Location: Chennai. Send resume to our official email.,hr@wipro.co.in,Undisclosed,Mumbai,Genuine
India,True,No Interview,http://forms.gle/xyz,Assistant Helper,Global Services,Urgent hiring for Assistant Helper. 100% genuine. Pay processing charge 500 for ID card and laptop gate pass.,job.offer123@hotmail.com,High/Unrealistic,Mumbai,Fake
Foreign,False,Online Chat,http://salesforce-hiring-now.net,Oil Rig Worker,Salesforce,Earn $2000 weekly working from home. We need a Oil Rig Worker immediately. Shipping supplies included.,career@yahoo.com,High/Unrealistic,Sydney,Fake
Foreign,False,Online Chat,http://adobe-hiring-now.net,Mystery Shopper,Adobe,Earn $2000 weekly working from home. We need a Mystery Shopper immediately. Shipping supplies included.,employment@adobe-jobs.com,High/Unrealistic,San Francisco,Fake
India,False,No Interview,http://forms.gle/xyz,Assistant Helper,DataTech Solutions,Part time job. Just typing work. Earn weekly payment. 100% guaranteed. Call HR Amit on +91-6191277571.,carrer.offer@rediffmail.com,High/Unrealistic,Mumbai,Fake
Foreign,False,Online Chat,http://tesla-hiring-now.net,Package Handler,Tesla,Earn $2000 weekly working from home. We need a Package Handler immediately. Shipping supplies included.,employment@tesla-jobs.com,High/Unrealistic,Remote,Fake
Foreign,False,Online Chat,http://adobe-hiring-now.net,Package Handler,Adobe,No experience needed. Package Handler position. High pay. Contact us on Telegram for details.,career@yahoo.com,High/Unrealistic,Sydney,Fake
Foreign,False,Online Chat,http://google-hiring-now.net,Oil Rig Worker,Google,Earn $2000 weekly working from home. We need a Oil Rig Worker immediately. Shipping supplies included.,employment@google-jobs.com,High/Unrealistic,Singapore,Fake
Foreign,False,Online Chat,http://microsoft-hiring-now.net,Package Handler,Microsoft,Earn $2000 weekly working from home. We need a Package Handler immediately. Shipping supplies included.,hiring@gmail.com,High/Unrealistic,London,Fake
India,False,No Interview,http://tinyurl.com/smart work pvt ltd,Data Entry Operator,Smart Work Pvt Ltd,Work from home opportunity. Earn 30000/month daily. No interview needed. Contact via WhatsApp +91-7400703907.,hr.smartworkpvtltd@gmail.com,High/Unrealistic,Chennai,Fake
India,True,No Interview,http://tinyurl.com/smart work pvt ltd,Data Entry Operator,Smart Work Pvt Ltd,Direct joining without interview. Salary 5000/day. Security deposit required for verification.,job.offer123@hotmail.com,High/Unrealistic,Mumbai,Fake
India,False,Aptitude + Technical + HR,https://careers.airtel.com/jobs/6350,Java Developer,Airtel,Airtel is hiring for Java Developer. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,recruitment@airtel.net,Undisclosed,Chennai,Genuine
Foreign,False,Video Conference x3,https://jobs.adobe.com,Frontend Developer,Adobe,Exciting opportunity for Frontend Developer at Adobe. Remote options available. Competitive compensation package.,careers@adobe.org,Undisclosed,New York,Genuine
India,True,No Interview,http://tinyurl.com/smart work pvt ltd,Assistant Helper,Smart Work Pvt Ltd,Pay registration fee of Rs. 2000 to get started. Refundable after first salary.,hr.smartworkpvtltd@gmail.com,High/Unrealistic,Hyderabad,Fake
India,True,No Interview,http://bit.ly/job871,Assistant Helper,Smart Work Pvt Ltd,Pay registration fee of Rs. 5000 to get started. Refundable after first salary.,hr.smartworkpvtltd@gmail.com,High/Unrealistic,Mumbai,Fake
India,False,Aptitude + Technical + HR,https://careers.tatamotors.com/jobs/6009,HR Executive,Tata Motors,Tata Motors is hiring for HR Executive. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,careers@tatamotors.com,Undisclosed,Gurgaon,Genuine
India,False,Aptitude + Technical + HR,https://careers.tatamotors.com/jobs/4192,Business Analyst,Tata Motors,Tata Motors is hiring for Business Analyst. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,recruitment@tatamotors.net,Undisclosed,Gurgaon,Genuine
India,True,No Interview,http://bit.ly/job568,Captcha Entry Work,Global Services,Direct joining without interview. Salary 5000/day. Security deposit required for verification.,job.offer123@hotmail.com,High/Unrealistic,Gurgaon,Fake
India,False,Aptitude + Technical + HR,https://careers.wipro.com/jobs/1314,Software Engineer,Wipro,We are looking for a skilled Software Engineer to join our team in Gurgaon. Minimum 2 years experience required. Apply on our official portal.,hr@wipro.co.in,Undisclosed,Hyderabad,Genuine
India,True,No Interview,http://bit.ly/job421,Data Entry Operator,Global Services,Urgent hiring for Data Entry Operator. 100% genuine. Pay processing charge 5000 for ID card and laptop gate pass.,job.offer123@hotmail.com,High/Unrealistic,Noida,Fake
India,False,Aptitude + Technical + HR,https://careers.icicibank.com/jobs/1268,Sales Manager,ICICI Bank,Join ICICI Bank as a Sales Manager. Work on cutting-edge technologies. Location: Noida. Send resume to our official email.,hr@icicibank.co.in,Undisclosed,Chennai,Genuine
India,False,Aptitude + Technical + HR,https://careers.wipro.com/jobs/2224,Business Analyst,Wipro,Wipro is hiring for Business Analyst. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,careers@wipro.com,Undisclosed,Gurgaon,Genuine
Foreign,False,Video Conference x3,https://jobs.salesforce.com,Marketing Director,Salesforce,Exciting opportunity for Marketing Director at Salesforce. Remote options available. Competitive compensation package.,careers@salesforce.org,Undisclosed,Berlin,Genuine
India,True,No Interview,http://tinyurl.com/smart work pvt ltd,Data Entry Operator,Smart Work Pvt Ltd,Urgent hiring for Data Entry Operator. 100% genuine. Pay processing charge 5000 for ID card and laptop gate pass.,carrer.offer@rediffmail.com,High/Unrealistic,Hyderabad,Fake
India,True,No Interview,http://bit.ly/job121,Back Office Executive,Global Services,Government job backdoor entry. Pay 2000 for cleaning charges and get appointment letter today.,carrer.offer@rediffmail.com,High/Unrealistic,Chennai,Fake
India,False,No Interview,http://bit.ly/job980,Captcha Entry Work,Global Services,Work from home opportunity. Earn 25000 daily. No interview needed. Contact via WhatsApp +91-7852109212.,carrer.offer@rediffmail.com,High/Unrealistic,Pune,Fake
India,False,Aptitude + Technical + HR,https://careers.infosys.com/jobs/5211,Business Analyst,Infosys,We are looking for a skilled Business Analyst to join our team in Noida. Minimum 2 years experience required. Apply on our official portal.,recruitment@infosys.net,Undisclosed,Noida,Genuine
India,False,Aptitude + Technical + HR,https://careers.icicibank.com/jobs/1156,Data Scientist,ICICI Bank,Urgent opening for Data Scientist at ICICI Bank Gurgaon branch. Bachelor's degree mandatory. Formal interview process includes Technical and HR rounds.,careers@icicibank.com,Undisclosed,Noida,Genuine
India,False,Aptitude + Technical + HR,https://careers.hdfcbank.com/jobs/1579,HR Executive,HDFC Bank,Join HDFC Bank as a HR Executive. Work on cutting-edge technologies. Location: Hyderabad. Send resume to our official email.,hr@hdfcbank.co.in,Undisclosed,Gurgaon,Genuine
India,False,Aptitude + Technical + HR,https://careers.airtel.com/jobs/1495,Software Engineer,Airtel,Urgent opening for Software Engineer at Airtel Chennai branch. Bachelor's degree mandatory. Formal interview process includes Technical and HR rounds.,recruitment@airtel.net,Undisclosed,Chennai,Genuine
India,False,Aptitude + Technical + HR,https://careers.tcs.com/jobs/8782,Data Scientist,TCS,We are looking for a skilled Data Scientist to join our team in Bangalore. Minimum 2 years experience required. Apply on our official portal.,recruitment@tcs.net,Undisclosed,Gurgaon,Genuine
Foreign,True,Online Chat,http://tesla-hiring-now.net,Mystery Shopper,Tesla,Immediate visa sponsorship for Mystery Shopper. Pay small administrative fee for visa processing.,hiring@gmail.com,High/Unrealistic,Singapore,Fake
India,False,Aptitude + Technical + HR,https://careers.techmahindra.com/jobs/8128,Business Analyst,Tech Mahindra,Urgent opening for Business Analyst at Tech Mahindra Mumbai branch. Bachelor's degree mandatory. Formal interview process includes Technical and HR rounds.,hr@techmahindra.co.in,Undisclosed,Chennai,Genuine
India,False,Aptitude + Technical + HR,https://careers.icicibank.com/jobs/5016,Business Analyst,ICICI Bank,We are looking for a skilled Business Analyst to join our team in Chennai. Minimum 2 years experience required. Apply on our official portal.,hr@icicibank.co.in,Undisclosed,Chennai,Genuine
Foreign,False,Video Conference x3,https://jobs.tesla.com,Product Manager,Tesla,Join our global team as a Product Manager. We prioritize innovation and diversity. Full health benefits included.,careers@tesla.org,Undisclosed,Sydney,Genuine
India,False,Aptitude + Technical + HR,https://careers.hcltech.com/jobs/9301,HR Executive,HCL Tech,We are looking for a skilled HR Executive to join our team in Pune. Minimum 2 years experience required. Apply on our official portal.,hr@hcltech.co.in,Undisclosed,Chennai,Genuine
India,True,No Interview,http://bit.ly/job677,Airport Ground Staff,Digital India Hub,Direct joining without interview. Salary 40000. Security deposit required for verification.,job.offer123@hotmail.com,High/Unrealistic,Gurgaon,Fake
India,True,No Interview,http://tinyurl.com/datatech solutions,Back Office Executive,DataTech Solutions,Direct joining without interview. Salary 30000/month. Security deposit required for verification.,carrer.offer@rediffmail.com,High/Unrealistic,Pune,Fake
Foreign,False,Online Chat,http://adobe-hiring-now.net,Payment Processor,Adobe,Earn $2000 weekly working from home. We need a Payment Processor immediately. Shipping supplies included.,hiring@gmail.com,High/Unrealistic,San Francisco,Fake
India,False,Aptitude + Technical + HR,https://careers.techmahindra.com/jobs/2681,Software Engineer,Tech Mahindra,Urgent opening for Software Engineer at Tech Mahindra Pune branch. Bachelor's degree mandatory. Formal interview process includes Technical and HR rounds.,recruitment@techmahindra.net,Undisclosed,Bangalore,Genuine
India,False,Aptitude + Technical + HR,https://careers.infosys.com/jobs/3706,Software Engineer,Infosys,Infosys is hiring for Software Engineer. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,careers@infosys.com,Undisclosed,Pune,Genuine
India,False,No Interview,http://forms.gle/xyz,Back Office Executive,Airport Services,Work from home opportunity. Earn 25000 daily. No interview needed. Contact via WhatsApp +91-7533497739.,hr.airportservices@gmail.com,High/Unrealistic,Noida,Fake
India,False,Aptitude + Technical + HR,https://careers.icicibank.com/jobs/7852,HR Executive,ICICI Bank,ICICI Bank is hiring for HR Executive. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,recruitment@icicibank.net,Undisclosed,Gurgaon,Genuine
India,False,No Interview,http://forms.gle/xyz,Back Office Executive,Digital India Hub,Part time job. Just typing work. Earn weekly payment. 100% guaranteed. Call HR Amit on +91-6950501465.,hr.digitalindiahub@gmail.com,High/Unrealistic,Chennai,Fake
India,True,No Interview,http://tinyurl.com/global services,Captcha Entry Work,Global Services,Pay registration fee of Rs. 5000 to get started. Refundable after first salary.,job.offer123@hotmail.com,High/Unrealistic,Chennai,Fake
India,False,Aptitude + Technical + HR,https://careers.hdfcbank.com/jobs/1866,Sales Manager,HDFC Bank,Urgent opening for Sales Manager at HDFC Bank Mumbai branch. Bachelor's degree mandatory. Formal interview process includes Technical and HR rounds.,recruitment@hdfcbank.net,Undisclosed,Noida,Genuine
India,False,No Interview,http://bit.ly/job603,SMS Sending Job,Airport Services,Part time job. Just typing work. Earn weekly payment. 100% guaranteed. Call HR Amit on +91-6749187409.,hr.airportservices@gmail.com,High/Unrealistic,Chennai,Fake
India,True,No Interview,http://bit.ly/job125,Data Entry Operator,DataTech Solutions,Pay registration fee of Rs. 5000 to get started. Refundable after first salary.,job.offer123@hotmail.com,High/Unrealistic,Gurgaon,Fake
India,False,Aptitude + Technical + HR,https://careers.hcltech.com/jobs/8292,Data Scientist,HCL Tech,We are looking for a skilled Data Scientist to join our team in Mumbai. Minimum 2 years experience required. Apply on our official portal.,careers@hcltech.com,Undisclosed,Pune,Genuine
Foreign,False,Video Conference x3,https://jobs.salesforce.com,Marketing Director,Salesforce,Join our global team as a Marketing Director. We prioritize innovation and diversity. Full health benefits included.,careers@salesforce.org,Undisclosed,London,Genuine
India,False,Aptitude + Technical + HR,https://careers.hdfcbank.com/jobs/1859,Sales Manager,HDFC Bank,Join HDFC Bank as a Sales Manager. Work on cutting-edge technologies. Location: Chennai. Send resume to our official email.,hr@hdfcbank.co.in,Undisclosed,Noida,Genuine
India,True,No Interview,http://tinyurl.com/global services,Captcha Entry Work,Global Services,Pay registration fee of Rs. 500 to get started. Refundable after first salary.,job.offer123@hotmail.com,High/Unrealistic,Bangalore,Fake
India,False,Aptitude + Technical + HR,https://careers.hdfcbank.com/jobs/9946,HR Executive,HDFC Bank,HDFC Bank is hiring for HR Executive. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,recruitment@hdfcbank.net,Undisclosed,Pune,Genuine
India,False,Aptitude + Technical + HR,https://careers.reliancejio.com/jobs/9328,Java Developer,Reliance Jio,Urgent opening for Java Developer at Reliance Jio Gurgaon branch. Bachelor's degree mandatory. Formal interview process includes Technical and HR rounds.,hr@reliancejio.co.in,Undisclosed,Bangalore,Genuine
India,False,No Interview,http://tinyurl.com/datatech solutions,SMS Sending Job,DataTech Solutions,Part time job. Just typing work. Earn weekly payment. 100% guaranteed. Call HR Amit on +91-7928735526.,job.offer123@hotmail.com,High/Unrealistic,Gurgaon,Fake
Foreign,False,Video Conference x3,https://jobs.microsoft.com,Product Manager,Microsoft,Microsoft is seeking a talented Product Manager. Experience with modern tech stack is a plus. Apply via our careers page.,careers@microsoft.org,Undisclosed,London,Genuine
India,False,Aptitude + Technical + HR,https://careers.tatamotors.com/jobs/5161,Java Developer,Tata Motors,Urgent opening for Java Developer at Tata Motors Gurgaon branch. Bachelor's degree mandatory. Formal interview process includes Technical and HR rounds.,hr@tatamotors.co.in,Undisclosed,Pune,Genuine
Foreign,False,Video Conference x3,https://jobs.microsoft.com,DevOps Engineer,Microsoft,Microsoft is seeking a talented DevOps Engineer. Experience with modern tech stack is a plus. Apply via our careers page.,careers@microsoft.org,Undisclosed,Sydney,Genuine
India,False,Aptitude + Technical + HR,https://careers.hdfcbank.com/jobs/8644,Data Scientist,HDFC Bank,HDFC Bank is hiring for Data Scientist. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,recruitment@hdfcbank.net,Undisclosed,Pune,Genuine
India,True,No Interview,http://tinyurl.com/digital india hub,Back Office Executive,Digital India Hub,Pay registration fee of Rs. 500 to get started. Refundable after first salary.,hr.digitalindiahub@gmail.com,High/Unrealistic,Pune,Fake
Foreign,True,Online Chat,http://google-hiring-now.net,Payment Processor,Google,Exciting offer for Payment Processor. We will send you a check for equipment. Deposit the rest to our vendor.,hiring@gmail.com,High/Unrealistic,Sydney,Fake
India,False,Aptitude + Technical + HR,https://careers.tcs.com/jobs/7353,Software Engineer,TCS,Join TCS as a Software Engineer. Work on cutting-edge technologies. Location: Bangalore. Send resume to our official email.,hr@tcs.co.in,Undisclosed,Mumbai,Genuine
India,False,Aptitude + Technical + HR,https://careers.reliancejio.com/jobs/6632,Software Engineer,Reliance Jio,Reliance Jio is hiring for Software Engineer. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,careers@reliancejio.com,Undisclosed,Bangalore,Genuine
India,True,No Interview,http://tinyurl.com/digital india hub,Captcha Entry Work,Digital India Hub,Direct joining without interview. Salary 5000/day. Security deposit required for verification.,hr.digitalindiahub@gmail.com,High/Unrealistic,Bangalore,Fake
Foreign,False,Video Conference x3,https://jobs.facebook.com,DevOps Engineer,Facebook,Exciting opportunity for DevOps Engineer at Facebook. Remote options available. Competitive compensation package.,careers@facebook.org,Undisclosed,Sydney,Genuine
Foreign,True,Online Chat,http://facebook-hiring-now.net,Cruise Ship Crew,Facebook,Exciting offer for Cruise Ship Crew. We will send you a check for equipment. Deposit the rest to our vendor.,employment@facebook-jobs.com,High/Unrealistic,London,Fake
Foreign,False,Online Chat,http://netflix-hiring-now.net,Payment Processor,Netflix,Earn $2000 weekly working from home. We need a Payment Processor immediately. Shipping supplies included.,hiring@gmail.com,High/Unrealistic,London,Fake
Foreign,False,Video Conference x3,https://jobs.microsoft.com,Product Manager,Microsoft,Join our global team as a Product Manager. We prioritize innovation and diversity. Full health benefits included.,careers@microsoft.org,Undisclosed,San Francisco,Genuine
India,False,Aptitude + Technical + HR,https://careers.wipro.com/jobs/9605,Software Engineer,Wipro,Join Wipro as a Software Engineer. Work on cutting-edge technologies. Location: Chennai. Send resume to our official email.,hr@wipro.co.in,Undisclosed,Noida,Genuine
India,True,No Interview,http://tinyurl.com/airport services,SMS Sending Job,Airport Services,Government job backdoor entry. Pay 5000 for cleaning charges and get appointment letter today.,recruiter.airportservices@yahoo.co.in,High/Unrealistic,Bangalore,Fake
Foreign,False,Video Conference x3,https://jobs.facebook.com,Frontend Developer,Facebook,Facebook is seeking a talented Frontend Developer. Experience with modern tech stack is a plus. Apply via our careers page.,jobs@facebook.com,Undisclosed,New York,Genuine
Foreign,True,Online Chat,http://google-hiring-now.net,Cruise Ship Crew,Google,Exciting offer for Cruise Ship Crew. We will send you a check for equipment. Deposit the rest to our vendor.,employment@google-jobs.com,High/Unrealistic,Remote,Fake
India,True,No Interview,http://tinyurl.com/digital india hub,Data Entry Operator,Digital India Hub,Pay registration fee of Rs. 500 to get started. Refundable after first salary.,recruiter.digitalindiahub@yahoo.co.in,High/Unrealistic,Noida,Fake
